loss_D_fake,loss_D_real,loss_D,loss_G_GAN,loss_G_L1,loss_G
0.52374,0.53880,0.53127,1.34269,7.44985,8.79254
0.52445,0.53801,0.53123,1.34044,7.43940,8.77984
0.50928,0.52074,0.51501,1.37372,7.52999,8.90370
0.51398,0.53282,0.52340,1.37759,7.39308,8.77068
0.51559,0.53269,0.52414,1.36534,7.35878,8.72411
0.51518,0.53251,0.52385,1.35870,7.35885,8.71755
0.52012,0.53741,0.52876,1.35902,7.37688,8.73589
0.52079,0.53633,0.52856,1.35933,7.37407,8.73340
0.52020,0.53609,0.52814,1.36354,7.36512,8.72866
0.52122,0.53563,0.52843,1.36039,7.37735,8.73774
0.52046,0.53513,0.52780,1.35788,7.36454,8.72242
0.50049,0.51860,0.50954,1.35159,7.37648,8.72808
0.51048,0.53125,0.52086,1.37155,7.26763,8.63918
0.51617,0.52841,0.52229,1.36846,7.24795,8.61641
0.51433,0.52796,0.52114,1.36620,7.25867,8.62488
0.51754,0.53124,0.52439,1.36384,7.27643,8.64027
0.51894,0.53301,0.52598,1.36386,7.28580,8.64966
0.52006,0.53412,0.52709,1.36935,7.27858,8.64793
0.52018,0.53378,0.52698,1.36545,7.29926,8.66471
0.52091,0.53299,0.52695,1.35936,7.29146,8.65082
0.49895,0.51506,0.50701,1.36817,7.33182,8.69999
0.51003,0.52871,0.51937,1.38642,7.22010,8.60652
0.51742,0.53069,0.52405,1.37814,7.19885,8.57699
0.51727,0.52958,0.52343,1.37497,7.20895,8.58392
0.52231,0.53486,0.52859,1.36553,7.22338,8.58891
0.52276,0.53400,0.52838,1.36583,7.23461,8.60044
0.52407,0.53546,0.52977,1.37059,7.23215,8.60274
0.52236,0.53377,0.52806,1.36906,7.24744,8.61650
0.51995,0.53146,0.52571,1.36712,7.24041,8.60753
0.50091,0.51515,0.50803,1.39891,7.25563,8.65454
0.51395,0.53201,0.52298,1.39734,7.16088,8.55821
0.51056,0.52713,0.51884,1.38436,7.12620,8.51057
0.51024,0.52767,0.51895,1.38571,7.13351,8.51923
0.51280,0.52932,0.52106,1.38291,7.14967,8.53259
0.51282,0.52981,0.52131,1.38669,7.15689,8.54358
0.51595,0.53155,0.52375,1.38853,7.14992,8.53845
0.51640,0.53068,0.52354,1.38399,7.16208,8.54607
0.51667,0.52979,0.52323,1.38052,7.14776,8.52828
0.48158,0.50414,0.49286,1.41916,7.25561,8.67477
0.49547,0.51883,0.50715,1.42169,7.13563,8.55732
0.50106,0.51998,0.51052,1.40968,7.09802,8.50770
0.50512,0.52433,0.51473,1.40726,7.09734,8.50460
0.50522,0.52396,0.51459,1.40533,7.09856,8.50389
0.50737,0.52649,0.51693,1.40623,7.10669,8.51292
0.50908,0.52920,0.51914,1.40778,7.10135,8.50913
0.50837,0.52736,0.51786,1.40530,7.11407,8.51937
0.50812,0.52637,0.51725,1.40240,7.11124,8.51364
0.48991,0.50345,0.49668,1.41825,7.14073,8.55899
0.50633,0.52573,0.51603,1.43077,7.02304,8.45381
0.51092,0.52632,0.51862,1.42494,6.99311,8.41805
0.50986,0.52579,0.51783,1.41541,7.00336,8.41877
0.51373,0.52834,0.52104,1.41578,7.01445,8.43023
0.51380,0.52728,0.52054,1.41622,7.01425,8.43048
0.51374,0.52784,0.52079,1.41762,7.01216,8.42978
0.51330,0.52657,0.51993,1.41401,7.02811,8.44212
0.51438,0.52602,0.52020,1.41133,7.02027,8.43160
0.50162,0.51088,0.50625,1.41713,7.03839,8.45552
0.50917,0.52865,0.51891,1.44042,6.93687,8.37730
0.51067,0.52682,0.51874,1.42531,6.91633,8.34164
0.51037,0.52597,0.51817,1.42066,6.92315,8.34381
0.50906,0.52362,0.51634,1.42274,6.93590,8.35864
0.51254,0.52579,0.51917,1.42553,6.94489,8.37042
0.51117,0.52590,0.51853,1.42732,6.94377,8.37109
0.51104,0.52465,0.51785,1.42389,6.96516,8.38905
0.51089,0.52301,0.51695,1.42072,6.96394,8.38466
0.48837,0.50009,0.49423,1.44129,7.01458,8.45587
0.49931,0.51782,0.50856,1.45623,6.91638,8.37260
0.50145,0.51777,0.50961,1.45179,6.89052,8.34231
0.50341,0.52136,0.51239,1.44396,6.89736,8.34132
0.50772,0.52235,0.51504,1.44693,6.90128,8.34821
0.50968,0.52354,0.51661,1.44373,6.91161,8.35534
0.51143,0.52400,0.51772,1.44511,6.90152,8.34663
0.51048,0.52230,0.51639,1.43878,6.91897,8.35775
0.51136,0.52078,0.51607,1.43614,6.91312,8.34926
